dong_name,safety_cnt,leisure_cnt,food_cnt,health_cnt,conv_cnt,transp_cnt,cafe_cnt,pub_cnt,gu_id,dongx,dongy
마포동,0,0,48,2,4,2,1,0,13,37.537003,126.945323
대흥동,1,4,204,41,6,25,24,1,13,37.551055,126.943731
염리동,1,5,145,16,10,13,24,1,13,37.551546,126.947279
노고산동,1,8,171,59,8,15,23,9,13,37.554402,126.938556
신수동,1,4,168,13,12,25,27,3,13,37.547351,126.937074
현석동,0,1,10,0,2,0,0,0,13,37.543840,126.933903
구수동,0,1,35,6,1,5,3,0,13,37.545679,126.932695
창전동,1,7,131,15,5,35,17,1,13,37.550966,126.929835
상수동,0,4,312,9,8,19,31,4,13,37.547431,126.922946
하중동,0,0,3,1,1,4,0,0,13,37.545750,126.928674
신정동,2328,57,1013,241,76,168,164,19,13,37.544210,126.930866
신정동,2328,57,1013,241,76,168,164,19,19,37.521636,126.857957
당인동,0,0,10,0,1,1,2,1,13,37.546250,126.920245
서교동,3,37,1768,73,39,59,186,46,13,37.553910,126.918985
동교동,1,34,571,81,16,19,64,8,13,37.557650,126.925663
합정동,0,12,531,29,14,30,65,6,13,37.549046,126.911558
망원동,2,13,728,45,23,54,86,5,13,37.556620,126.903976
연남동,1,5,794,12,17,22,97,13,13,37.562962,126.921783
성산동,2,23,414,27,29,63,49,1,13,37.563317,126.910870
중동,0,1,40,14,3,8,5,0,13,37.570400,126.907656
상암동,2,17,676,72,21,89,88,5,13,37.577131,126.893488
목동,2355,85,1114,263,80,90,176,16,19,37.539776,126.869079
신월동,2713,17,847,118,63,80,89,20,19,37.529444,126.834248
염창동,79,17,202,60,19,37,51,15,4,37.551366,126.871300
등촌동,197,59,660,115,48,75,143,25,4,37.551325,126.858411
화곡동,1288,69,1956,287,115,192,247,262,4,37.538358,126.847336
가양동,85,19,189,49,19,44,44,5,4,37.568238,126.845059
마곡동,28,68,1447,188,56,73,270,63,4,37.566092,126.830395
내발산동,158,17,310,76,20,47,78,7,4,37.552616,126.835730
외발산동,3,0,28,1,2,20,2,1,4,37.546721,126.821871
공항동,114,5,263,27,21,41,37,23,4,37.558805,126.813297
방화동,308,25,618,86,35,79,108,44,4,37.569138,126.812192
개화동,78,0,3,0,0,10,3,0,4,37.582069,126.801198
과해동,0,0,2,2,0,3,2,0,4,37.560661,126.794953
오곡동,0,0,3,0,0,2,0,0,4,37.554615,126.775768
오쇠동,0,0,2,0,0,2,1,0,4,37.541148,126.796575
신도림동,109,16,257,75,17,43,52,1,7,37.509454,126.880425
구로동,1113,67,2090,297,103,157,230,16,7,37.492900,126.886427
가리봉동,327,1,201,16,6,9,8,2,7,37.482944,126.888062
고척동,456,14,450,78,43,69,42,6,7,37.503560,126.855829
개봉동,562,18,472,124,40,87,69,9,7,37.494970,126.851409
오류동,330,12,304,79,30,45,39,28,7,37.494129,126.840746
궁동,138,1,49,10,8,31,10,0,7,37.496870,126.831303
온수동,105,3,48,9,9,16,9,0,7,37.493507,126.820255
천왕동,35,2,23,12,4,30,10,0,7,37.482016,126.841789
항동,39,3,57,10,11,30,17,0,7,37.484059,126.822980
가산동,258,35,1030,81,93,106,219,26,8,37.477598,126.888291
독산동,1392,37,1009,144,83,110,128,45,8,37.469371,126.901246
시흥동,1288,27,718,169,60,139,89,55,8,37.453325,126.906222
영등포동,156,11,139,20,7,14,27,67,20,37.513448,126.907724
영등포동1가,8,1,29,0,4,2,1,0,20,37.517710,126.913057
영등포동2가,65,3,49,4,5,5,18,4,20,37.520839,126.910094
영등포동3가,51,0,258,37,7,6,15,9,20,37.518155,126.907998
영등포동4가,35,13,159,35,9,8,37,2,20,37.517981,126.903506
영등포동5가,36,1,87,18,2,3,3,6,20,37.521133,126.907084
영등포동6가,20,0,78,19,4,3,10,0,20,37.521556,126.903090
영등포동7가,30,5,150,7,11,9,17,1,20,37.524619,126.906670
영등포동8가,24,6,63,14,6,7,14,0,20,37.527015,126.905253
여의도동,97,42,1677,196,56,60,258,62,20,37.524371,126.925958
당산동1가,79,1,141,10,7,5,21,4,20,37.522336,126.898748
당산동2가,21,1,82,8,10,6,5,0,20,37.522967,126.892688
당산동3가,36,8,281,21,10,7,27,8,20,37.525551,126.896668
당산동4가,40,7,101,21,4,6,25,0,20,37.528887,126.898848
