,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,석유판매업,세탁업,영화상영관,제과점영업,체력단련장업,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,음식점수,장보기시설,쇼핑시설
331,현석동,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,9,0.0,0.0
332,구수동,0,5,0,1,0,0,0,0,3,2,0,0,6,0,0,0,0,0,1,32,0.0,1.0
333,창전동,1,34,0,2,1,1,5,0,4,6,0,3,12,0,1,0,1,1,1,149,0.0,1.0
334,상수동,1,18,1,2,1,0,1,0,11,3,0,2,7,0,0,0,2,1,1,337,0.0,0.0
335,하중동,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.0,0.0
336,신정동,3,165,10,27,6,11,61,0,56,49,7,50,184,2,3,2,2,79,27,1069,5.0,2.0
337,당인동,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0.0,0.0
338,서교동,1,58,17,3,1,0,9,5,36,28,0,17,56,1,1,1,1,37,16,1882,3.0,0.0
339,동교동,1,18,7,1,0,0,1,24,17,8,1,12,68,1,0,0,0,16,8,581,0.0,2.0
340,합정동,1,29,9,1,0,2,8,0,18,11,1,7,21,0,0,0,1,11,4,542,1.0,0.0
341,망원동,1,53,9,1,2,2,20,0,25,9,0,17,28,1,1,0,0,30,13,693,1.0,1.0
342,연남동,0,22,10,0,1,0,5,0,58,4,0,2,10,0,1,0,0,5,4,778,1.0,1.0
343,성산동,2,61,7,7,6,5,15,9,23,9,1,11,15,0,1,1,0,15,11,414,2.0,0.0
344,중동,0,8,0,0,0,0,5,0,2,1,0,3,11,0,0,0,0,0,2,43,0.0,0.0
345,상암동,0,89,3,6,2,0,9,0,16,17,1,15,56,0,1,1,8,5,6,670,0.0,0.0
346,목동,2,88,9,25,12,6,50,17,64,67,2,49,212,3,2,2,0,62,27,1185,7.0,7.0
347,신월동,0,80,2,13,11,11,45,0,24,13,3,26,89,2,3,1,0,79,39,950,5.0,0.0
348,염창동,0,37,1,8,4,4,13,0,13,15,2,15,43,0,1,0,1,11,6,240,0.0,2.0
349,등촌동,0,75,9,19,4,6,26,14,26,36,8,36,71,0,2,1,4,35,14,684,1.0,1.0
350,화곡동,3,189,10,16,17,12,81,5,52,56,12,79,196,1,4,1,4,153,60,2236,0.0,7.0
351,가양동,0,44,3,5,2,7,18,0,9,19,0,15,34,0,0,0,4,9,8,211,3.0,0.0
352,마곡동,2,71,0,8,1,4,8,6,45,60,6,41,141,0,0,1,1,20,10,1411,3.0,0.0
353,내발산동,0,47,6,6,0,2,16,0,19,16,4,19,53,0,1,1,2,10,6,314,0.0,2.0
354,외발산동,0,20,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,33,0.0,0.0
355,공항동,1,40,1,3,1,8,8,0,7,4,0,8,19,0,0,0,1,20,6,313,0.0,0.0
356,방화동,3,76,2,9,7,8,33,10,36,15,4,22,60,0,2,1,4,49,17,714,1.0,4.0
357,개화동,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0.0,0.0
358,과해동,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0.0
359,오곡동,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0
360,오쇠동,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
361,신도림동,2,41,2,7,0,2,12,5,18,8,0,15,60,2,0,1,1,11,4,258,1.0,1.0
362,구로동,3,154,5,20,6,22,63,18,39,39,5,78,214,2,3,2,3,150,34,2197,4.0,14.0
363,가리봉동,0,9,0,0,1,3,4,0,0,1,1,5,10,0,1,0,0,38,4,213,0.0,0.0
364,고척동,0,69,2,14,6,3,20,0,18,13,4,17,57,1,1,2,5,36,17,473,1.0,10.0
365,개봉동,0,87,0,5,8,6,31,1,21,15,3,28,93,3,1,0,4,36,13,502,2.0,3.0
366,오류동,0,45,2,2,2,4,18,0,8,9,3,16,60,0,1,0,2,16,5,314,1.0,2.0
367,궁동,0,31,0,1,1,2,4,0,3,0,0,3,7,0,1,1,0,4,2,55,0.0,0.0
368,온수동,1,15,0,0,0,1,5,0,3,2,0,2,7,1,0,0,2,2,2,56,0.0,0.0
369,천왕동,1,29,0,0,0,0,1,0,3,2,0,1,11,0,0,0,6,0,0,28,0.0,0.0
370,항동,0,30,1,0,0,1,1,0,3,4,0,1,9,0,0,0,1,0,1,48,0.0,0.0
371,가산동,1,105,1,13,5,2,14,6,19,24,1,11,69,0,1,0,0,40,33,1053,1.0,5.0
372,독산동,0,110,4,14,5,7,58,8,26,21,4,36,104,3,2,1,5,89,46,1159,4.0,6.0
373,시흥동,0,139,4,6,9,5,45,0,30,23,5,40,124,4,2,1,4,66,44,865,1.0,6.0
374,영등포동,0,14,0,1,1,1,3,7,11,2,0,6,14,0,1,0,1,14,1,166,0.0,1.0
